title,author,date,rating,text
"""One of the best films you'll ever see!""--Roger Ebert, does it live up to the hype?",ragin_kagin,28 November 2004,10,"The film revolves around the, 'City of God,' a favela (or ghetto) in Rio de Janeiro, Brazil, a horrifying area where drug dealers run the community, and where children killing children is not an uncommon occurrence."
This is a masterpiece that is definitely worth your time,kevin_robbins,23 August 2021,10,"City of God (2002) is a movie I originally saw at an advance screening in DC and is now in my DVD collection. It is also available on HBOMax. The storyline has a coming of age feel to it and takes place in the slums of Rio. It tells the tale of a young man trying to accomplish his goals as well as the lifestyle of other kids that grew up in his surroundings the same time as he did. This movie is directed by Fernando Meirelles (The Constant Gardner) and stars Alexandre Rodrigues (Paradise City), Leandro Firmino (Trash), Seu Jorge (Life Aquatic) and Alice Braga (I am Legend). Almost every single aspect of this movie is perfect. I loved the settings and backdrops and how they were filmed. It really did a good job of depicting the character's desperate circumstances. The portrayal of the characters and their evolution as they aged was also very well done. The narration throughout the movie helped with several transitions and established an understanding of the main character's mindset. The violence in this is very sudden and heart wrenching. They do such a good job of establishing the characters and making you feel something for what makes them tick which makes the various circumstances even more interesting. Their backstories are so well developed. The soundtrack is also very good. Overall this is a masterpiece that is definitely worth your time and an easy 10/10."
The Best Film Ever Made,moviesleuth2,20 June 2008,10,"Before anyone says anything, hear me out. According to the IMDb Top 250 list, ""The Godfather"" reigns supreme as number one, while ""City of God,"" or more appropriately, ""Cidade de Deus,"" is at the number 17 slot. But to compare the two is like comparing an Arnold Schwartzenegger movie to ""Crash."" They are just too different. But for me, while Francis Ford Coppolla's 1972 film is rightly considered a masterpiece, ""City of God"" is more memorable and packs a bigger punch. That, and ""The Godfather"" has had 30 more years under its belt to gather its legendary status. And it's in English (which, sadly, makes a lot of difference)."
Excellent and violent film based on real events,ma-cortes,18 October 2004,7,"The movie deals about children and adolescent factions in the impoverished Favelas , Rio Janeiro , for 1960 and 1970 years . And it centers upon a teen who tries to leave that world by means of the photography . The final confrontation among the motley gangs for Favelas control is pretty violent and bloody ."
Phenomenal,FilmOtaku,4 October 2004,9,"There are many films that don't live up to the hype they are afforded, particularly modern day films. 'City of God', directed by Fernando Meirelles is not one of them. From the moment the film began until halfway through the closing credits, my eyes did not leave the television once. Based on a true story, 'City of God' spans two decades and is about rival street gangs in the town Cidade de Deus (City of God), just outside of Rio de Janeiro. The city is one where the government sends the 'unwanted' residents of Rio, so most of the inhabitants are homeless, criminal and/or dirt poor. The story is told through the eyes of Rocket, a young boy who manages to stay on the outer fringe of the gangs, befriending some of the hoods, but not participating. What he discovers he wants to do is become a photojournalist, and begins to take photographs of his neighborhood. When he is in his late teens/early twenties, he goes to work delivering newspapers, when one of his photographs of the slum gang boss is discovered and published without his permission, putting his life in danger, but beginning his professional career."
An unsparing portrait of a sociopathic generation,howard.schumann,17 February 2003,,"""After the first death, there is no other"" - Dylan Thomas"
Easily my favourite movie of all time!,chengjeffrey99,30 October 2018,10,"Incredible film. Not much to say, yet I could say it all. The film is absolutely splendid in its use of colour, characters and especially music. Though some might complain of the shaky Super 16 footage, it is evidently for effect as the first half (golden age) is filmed with lots of aerials, and smooth, precise shots."
Almost Too Much to Watch,Hitchcoc,24 November 2009,9,"One must step back from an absolute sense of repugnance at the violence and look at what the filmmaker has done in this movie. Once you tune yourself into the lives of this cast of characters and their ongoing effort to stay alive and maintain dominance, you can reflect on the amazing cinematography and overall effect of the film. There is an ebb and floe that we watch, almost a dance in the slums of Rio. There is so much poverty that factions have grown up and the people are continually victimized by them as are there individual members. The police are perpetually on the take, so a military state is eventually set up. The main character is a participant early on and then an observer. His photographic skills are his ticket out and his ticket in. There is death and destruction, drugs and murder around every corner. Perhaps the scariest thing are a group of young boys called the Runts who are making a seamless transition into the horrors of the place, keeping things going for yet another generation. I think the most dominant theme of the whole thing has to do with the indifference toward death. Even those who are friends early on will kill their friends because a drug lord says so. It's an unforgettable film."
The best film to ever come out of Latin America,denkixd51,20 October 2019,10,"This is just a masterpiece of story-telling, a movie made with love and passion from everyone involved, simply an amazing movie, go watch it, I just can tell you this: City of God is the best film of Latin America, possibly the best film of the decade, and definitely one of the best films ever made."
"In terms of movie-making, there's nothing like it.",secondtake,14 July 2010,9,City of God (2002)
City of God was Incredible,sarahdelore,7 June 2003,10,"I knew nothing of this film before I saw it by chance in a rare Pub open screening, but boy was I glad I got the chance to take a look. I was riveted all night - I completely ignored my friends! I thought it was an awesome re-enactment of a true story - powerful, moving, raw, real - and even funny in parts. I walked away afterwards, beaming. It's rare a great film like this is made, especially these days. I gave it ten out of ten. Please see it if you can."
A Cinematic Achievement,dashtag1234,23 December 2020,9,"Fernando Mierelles is a genius. I'll tell you why. He directed a bunch of non-actors and made them feel real, like they were real characters. It's not like these guys are playing themselves 100% I'm sure the actor of Lil Ze is not a real psychopath. The way City of God is shot makes it feel real, like a documentary, and it is kind of beautiful. The storytelling is clever, and the use of shots is also very clever. Can't believe how this movie didn't win or get nominated for best foreign. It's violent and brutal, but still a remarkable film."
The gangs of Rio,jotix100,7 February 2003,8,"Quentin Tarantino, eat your heart out! At least in this film they outshot you big time. Watching this film is difficult at times. The violence is to such a degree, the viewer has a problem seating through it."
Authentic and indelible,DennisLittrell,29 December 2005,9,"(Note: Over 500 of my movie reviews are now available in my book ""Cut to the Chaise Lounge or I Can't Believe I Swallowed the Remote!"" Get it at Amazon.)"
a horrible movie that I strongly recommend,planktonrules,13 November 2005,9,"When I say ""horrible"" I am referring to the vileness of the characters and terrible images in the film. Technically speaking, this is a great film--with some of the most amazing and innovative cinematography I have ever seen. The stories are interwoven very well and the film seems so very real. It is so unfortunate at the film's conclusion you find out that although these are actors, the story itself is true. It's just so hard to imagine living in this hell on Earth in Rio. After seeing this film, there's no way I am ever visiting Brazil!! I'm sure many viewers feel the same way due to the absolute brutality of their slums where the police do little to interfere with gangs who run it."
The Three-Body Problem,tedg,9 March 2003,,Spoilers herein.
Visceral and Fabulous,evanston_dad,29 April 2005,10,"""City of God"" is an adrenaline jolt of a film that for once manages to find a balance between stylistics and substance. The director, Fernando Meirelles, stuffs his movie to the brim with machine-gun editing, swirling cinematography and pounding music, but while this reliance on fancy tricks has ruined other films, Meirelles is so expert at blending them seamlessly into an engrossing story that the viewer quickly accepts them as inseparable from the world of the film. He delivers a deeply emotional and human story that obviously owes much to Scorsese and Tarantino---but his movie feels completely original, never like a rip off. And underneath all of the action and plotting, there is a compelling message about about the power of art (specifically the camera) and a suggestion that, just as the pen is mightier than the sword, the camera is mightier than the gun. Can't recommend it enough."
The Hype and Acclaim is Real: Cidade de Deus delivers.,TheWillVega,31 August 2006,9,Long before have I seen movies being overly praised but were not worth the hype and time and vice versa for the rest. It's been like that for a few years already.
an exillerating ride through the life of gangsters,jpisani-1,15 December 2004,10,"I am a big fan of foreign film, because its great to see directors with different points of view than the average American director. City of God is the epitome of a great foreign film. It shows the classic struggle between right and wrong, in a brand new way. The raw directing style, coupled with a great soundtrack makes for a movie which many different kinds of people can enjoy. Weather your a Harvard intellectual or the local idiot, you can enjoy this. The vicious cycle of the gangster lifestyle is portrayed with haunting accuracy. It even forces the audience to sympathize with some of the nastiest thugs in the world. All in all, City of God is one the greatest movies of my time and each time i watch it i enjoy it more than the last."
From the first moment to the last this movie is enthralling!,mungo39,31 May 2005,10,"The first moment of the film shows us a swaggering gangster preparing food somewhere in the Favella of Rio de Janeiro. A knife scrapes across a whetstone, a chicken is plucked, fabulously atmospheric music plays in the background and a second chicken makes a break for his life! A chase ensues, the poor chicken being pursued by a whole gang of hoods, armed to the teeth, and the frenzy stops with our hero (Rocket) being caught between heavily armed Policemen, the chicken and the hoods. Violence seems inevitable, and things look bad for Rocket..."
Explores a world or violence and moral ambiguity rarely depicted on film,Chris_Docker,30 January 2003,8,"The most moving moment in a trip I made to Brasil occurred when I visited a community school in the slums (favelas). These children were desperately trying to better themselves  the school (paid for from community and rotararian funds with no government help) was their *only* chance to get out of the cycle of hopelessness and crime. The awful dilemma was that the community and its inhabitants were protected and supported (with no strings attached) by the local drugs and gun running infrastructure. I was safer there than on the streets of Copacabana  no-one would harm a tourist as that might attract police attention (bad for business). One infraction to law and order would mean a warning  the second, death."
I was pretty invested!,SPZMaxinema,5 April 2022,8,"The characterization and drama in this movie was done quite well. While I didn't like some of the directing techniques with the camera-work in some moments, in other moments it was directed quite well! I liked the ending a lot with Lil Z's demise and the twists that took place, plus how the cycle of a life of crime that infested the streets got passed down to yet another generation, quite a powerful movie! I would've never thought that I'd like a film quite like this!"
Just... fantastic.,Flagrant-Baronessa,22 June 2006,10,"City of God is set in poverty-stricken and corrupt Rio de Janeiro and bravely zooms in on its young citizens in their extremely violent day-to-day circumstances. Some of them are really only just kids. I don't mean kids like ""rowdy teens"", but actual little children with guns and blood on their hands. It is quite heartbreaking to watch, but very compelling at the same time."
Must Watch!,mikayakatnt,16 October 2019,10,"Hands down one of the best crime films out there. I enjoyed the story-telling, grittiness, and abject realism of this film. There were moments where I forgot that I was watching a work of fiction."
A Latin Masterpiece That Is As Hard To Watch As It Is Hard To Look Away From!,AhmedSpielberg99,19 September 2018,9,"Superb editing, and Fernando Meirelles splashy direction made this movie visually stunning, and this was necessary. Because without being so, City of God wouldn't have been the easiest hard-to-watch movie to be watched! I know that sounds weird, but I'm not kidding this movie is so disturbing and shocking, but its vibrant visual style made it impossible to look away from."
A masterpiece,mahmus,15 May 2020,10,"It gets very hard to watch, but I can't take my eyes away from the screen."
A really slick and impressive gangster movie,bob the moo,25 December 2003,,"In the slums of Rio de Janeiro is an area called the city of God.  In this area children often do not make it to adulthood.  Rocket is a young man looking to use photography to get himself out of the slums and away from crime.  We follow his story from a child through the 60's and 70's in the slums where he is witness as children Lil' Dice and Bene grow up to become the heads of the gangs, using violence and murder to increase their power."
"""City Of God"" (Cidade de Deus) is the best Brazilian film of all time.",fabioslimma,21 November 2020,10,"""City Of God"" (Cidade de Deus) is the best Brazilian film of all time. Technically perfect in directing, cinematography, editing, soundtrack and cast. Realistic, violent, impactful, this film is cinema of the best quality"
As real as it gets,Otoboke,29 September 2007,,"City of God is a fantastically made film filled with memorable characters all mixed into a story that will hold your attention from beginning to end. There's seriously not much wrong with this movie at all and has some of the best performances I've seen to date in modern cinema. Fernando Meirelles certainly makes his mark here, creating a realistically brutal rendition of a true story based around a violent neighbourhood of Rio de Janeiro in the 60's and 70's."
"Good, but underwhelming",Jared_Andrews,1 August 2014,7,"The opening scene set the tone for what was to come in the next two hours. What should have been a jolting and gripping experience, ended up underwhelming. The events should have made for a dramatic and even suspenseful sequence, but the ancillary movie elements added little to the scene."
Of how a chicken escaped alive,pedrofjmk,10 March 2005,10,"Let's imagine for a split-second that you have not read a line about 'City of God' as you click Play in your remote. As the footage starts, the camera snaps back and forth in a frenzy, people dance the samba, a party is on the make, a poor chicken watches as her mates become chicken wings. And hence we get to the big chicken run. It's the most brilliant scene of the whole movie - in fact, the whole movie revolves around it. Around this frantic scene and the shooting that follows and that sadly shows the reality of thousands of Brazilians in Rio and elsewhere. There is no space in Paulo Lins' novel for the idle hedonism of 'Capitães da Areia', the renown Jorge Amado classic that tells us the story of a junior delinquent gang in the streets of Salvador in Bahia. 'City of God' simply has no space. Not even space for the viewer. From the first scene onwards, you are permanently reminded that you aren't but a viewer, that you are outside, that you have absolutely not the slightest-faintest-slimmest idea of what it feels like to be inside. The narrative structure is a strike of genius in that sense. Not that it was a cutting-edge idea - it has been done time and time again. But the manipulation of at least three hand-held cameras, the constant sound of samba and the relapses of the story, together with the sheer vivacity of the original dialogues (mind you, I do mean the original, extremely nuanced Rio favela-slang Portuguese dialogues!!) make the movie possible to be watched without post-traumatic-stress. You are outside, and you know it. Your whole body is either stiff or numb, uncomfortable in any case. That strange butterfly-cold-revolving sensation in your stomach reminds you that you are not comfortable. The way you breathe (or don't)reminds you that you're not comfortable. The way you bite your knuckles or shake your head in disbelief, perhaps the dampness of your eyes when that young child cries in fear of being shot dead reminds you that you are not comfortable, that this is not your world. Sometimes, in your deep discomfort, your thoughts will go ashtray, only to be rescued back by the next still, the next title, the nest flashback that requires your attention. That is the stylistic exercise that achieves the objective of keeping you focused and in your seat. That is the role Meirelles responsibly takes as film director."
A Heavy Cloud Over Heaven.,tfrizzell,17 September 2004,,"A popular surge swept the land just prior to the 2003 Oscars and ""City of God"" became a critical success with the Academy. The popularity is somewhat misleading though as this production has tons of problems with its Oscar-nominated script and uneven performances across the board. The setting early is 1960s Rio de Janeiro. A ghetto just outside the city limits is the breeding ground for dangerous gangs of thugs who are little more than adolescents who go around and create chaotic violence. One of these youngsters grows to become Leandro Firmino, a heartless miscreant who toes the line between just being cruel and being down-right psychotic. He is kept somewhat under control by his top assistant Phellipe Haagensen, but in their world both are in as much danger as those that come into contact with them. As all this goes on another youngster (who grows to become Alexandre Rodrigues) from the same neighborhood looks to take a different route completely by trying to become a photographer. Rodrigues, like his contemporaries, also has a life that seems to be on a tight time table. The picture advances to the 1980s and the ultimate fates of the primary characters come shining through in vivid and ironic fashions. Directors Fernando Meirelles (Oscar-nominated in the category) and Katia Lund develop a technologically interesting picture that benefits greatly from landmark cinematography by Oscar-nominee Cesar Charlone and highly difficult editing techniques by Daniel Rezende (also Oscar-nominated). The camera-work is enough to give this film a high mark, but once again the performers are not as good as advertised and the script by Oscar-nominee Braulio Mantovani is unsteady and a bit pretentious. The fact that the tale is based on fact does not really give the picture any more credibility than it would have if it had been from the mind of a foreign screenwriter. The characters are not always believable and are usually not worth caring about. Many problems, but still a noble and overall intriguing product. 4 stars out of 5."
Tall and Tan and Young and Packing,siriver,26 April 2004,,"'What are you doing, you're just a kid?' ""I steal, I kill, I carry a gun, how can I be just a kid? I am a man."""
"The Brazilian ""Goodfellas"" ...",ElMaruecan82,20 February 2014,10,"The opening of ""City of God"" is inhabited by a voodoo-like trance, as if the whole spirit of Rio de Janeiro's titular suburbs was translating its turbulent and tortured soul into one of the most thrilling pieces of editing you'll ever see in a film."
"Life & Death on the mean streets in ""The City of God""",sol1218,21 June 2004,9,"****SPOILERS**** The movie ""The City of God"" starts where it ends with a bloody showdown between the Li'lZe mob and their very young allies ""The Young Runts"" having it out with the Carrot and Ned Knockout gang. Sandwiched between those two scenes are a number of brutal killings that dull your senses and condition you for the movies ferocious and climactic bloodbath. Savage and surrealistic movie about life and death in the slums of Rio de Janeiro and how great the odds are for anybody surviving in that ""Hell on Earth""."
Been rewatching it for decades,JoseyWales0,16 April 2021,10,And for decades to come.
A city of God where God is non-existent!,elsinefilo,2 January 2006,,"""City of God"" is about making your own way really! No matter in which conditions you're living in the life you lead is not always conglomeration of what you've lived always but it's something you pick and choose in a life you lead. The more you have power to direct yourself, to choose for yourself, the more decisive and decided you are the more successful you will be. Of course the society always shapes people and it's not the linchpin for your destiny. The movie is such a story. While Rocket dreams of being a photographer and makes his way into that dream Lil Ze is a hoodlum who satisfies his thirst for murder, who plunders and who desire more and more power. City of God is totally realistic! I am impressed by the fact that most of the actors in the film had never acted before and were, in fact, residents of favelas(slums)such as Vidigal and the ""City of God"" itself. The setting and the time fiction seems totally realistic too.If you wanna a realist piece of story do not forgo watching until the end!"
A Mindblowing Masterpiece!,phoenix-ks,4 May 2005,10,This movie is absolutely amazing! It is a cinematic tour de force. It is undoubtedly one of the top ten best movies ever made. Comparable to American masterpieces such as Goodfellas or Pulp Fiction. But it is its own unique film.
Unmoved (some small spoilers),MobileMotion,7 June 2005,7,"This film has been executed with considerable skill - 10/10 for visual and storytelling style. It is brilliant, expert and flawless in its execution."
Among the 24 best movies ever? Come on!,jgcorrea,18 September 2013,4,"Many consider a movie outstanding just because it shows tragic poverty and violence. Subconsciously, I mean CONSCIOUSLY. People feel ""politically correct"" for liking it. Praise becomes a form of self-elevation."
Watched it a while ago but it's still a reference to this day,Ashitaka137,14 April 2021,10,"The storytelling, the screenwriting, the directing, etc... practically everything in this movie is perfection! Definitely a must watch."
Great film that deserved to be recognized,Agent10,14 August 2006,9,"One thing is for certain, City of God didn't back down on the shock value. From the random killing of children to the more organized gang violence, City of God is more of a testament to the failures of capitalism rather than a failure of law and order. Either way, the film was a stunning depiction of a world no one really gets to see. This is a world you don't see in the tourist guides or in the movies."
"Excellent, but overrated by the IMDb-users",Travis_Bickle01,30 October 2005,8,"""Cidade de Deus"" is the breakthrough of Brazilian director Fernando Meirelles (""The Constant Gardener""). It tells the unbelievable but true story of the gang life in a poor neighbourhood of Rio de Janeiro. The neighbourhood is mostly ruled by kids and young adults, who doesn't play cowboy and Indian like most kids of their age do. No, most of the time they are busy dealing drugs, robbing local stores or killing other young adults in order to extend their territory."
Somewhat Flawed Film,ThomasColquith,1 June 2021,5,"I recently re-watched ""City of God"" for the first time in 15 years, and it was worse than I remembered. I had held this film in high esteem, but now, perhaps being older, I see more issues. First the positives: this film treads ground rarely done -- exploring the Brazilian favelas and the social issues endemic there. I think it is good to raise awareness about the plight of the less fortunate -- those whom by birth have less resources and opportunities afforded to them. However, there is a fine line to walk between raising awareness and just glorifying violence. I'm not saying that was the intent, but when all you see for two hours is violence, it is hard to think beyond that."
Brilliant but tough to watch,gelman@attglobal.net,22 December 2005,9,"There are exactly two characters in this movie -- Rocket and Knockout Ned -- who are in any way sympathetic. Everyone else is a villain or victim, usually both. The film does not contain a single frame that relieves the brutality, violence, poverty and degradation which are its themes. See it but understand what you'll be seeing: drug trafficking and casual murder (mostly done for ""business"" reasons but also for the sheer pleasure of killing) by young people and even by children in a terrible, terror-ridden Rio de Janeiro slum. In its way it is harder to watch even than Hotel Rwanda because of its apparent ""artlessness."" You have more of a feeling in City of God that you are actually there, witnessing unbelievably awful events without the small distance that Hotel Rwanda afforded because it was scripted and acted and ""directed,"" because it was art. This movie, on the other hand, feels like you are watching it happen in front of your eyes without a scriptwriter's story telling or a director's mediation. Those illusions are helped along by the fact that there's not a single actor that I recognized from any other movie. The actors ARE the drug dealers, the killers and the victims -- not, as in ""Traffic,"" well-known actors ""playing"" at being drug dealers, killers and victims. ""Traffic"" was very well done. This movie is harrowing."
Kids in the Hood,Jexxon,20 January 2005,4,To sum it up in one word: overrated.
"If you haven't seen it, you really should!",themovieguy-02393,16 October 2020,10,"This is one of my favorite films of all time and it is incredible how well it stands up over time. For me this is an absolute classic and one of the films that helped kick off a life long love of cinema. If you haven't seen it, you honestly owe yourself the favor."
Good,thorodinson-50130,15 May 2021,,"9.1
One of the best non English movie. Brazilian mafia."
City of God,baumhenrik,23 June 2019,9,"As one of the highest rated movies on IMDb, I had a certain expectation when watching it and it's easy to say that the movie kept up with it."
Disappointing,=G=,10 June 2004,5,"""City of God"" is an old story. So old, in fact, it begins in the 60's as it tells of gangsters in a Rio de Janeiro slum who do what gangsters do and have done everywhere for all the same reasons. Poverty breeds ignorance which breeds hopelessness which breeds desperation which breeds crime...etc. This film shows us nothing new, save the location and its paper thin characters, as it takes the audience into a slew of favela-dwelling punks with guns (so many it's hard to keep track of who's who and who killed who for what reason) as it attempts to impart a sense of warring in the Rio ghetto. You'll see such a convoluted mess of gang bangers there's no time for the film to provide character depth or a sense of the gangster ethos or the mechanics of the drug trade or a reason to care who lives or dies, etc. Just a whole lot of killing with numbing excess and only a hint of a human story. For reasons I am unable to deduce, ""City of God"" received raves from all corners and countless awards and noms. Go freakin' figure! Personally, I found the documentary piggy-backed into the DVD more interesting than the film and the one scene from the film I remember most (it was shown twice) was that of a chicken which was run over by a truck but escaped unscathed. If you like your street punk killing flicks with subtitles, go for it. (C+)"
Not nearly as good as advertised...,buiger,28 May 2017,7,"I saw this movie with a couple of friends, and none of us had any prior knowledge of the film. Interestingly enough, none of us where overly impressed... I only realized afterwards, when I went on to IMDb to write my review, that this is considered by many to be one of the best motion pictures ever made! I was shocked. Not to say that it is a bad movie, because it isn't, but it is nowhere near being very good, let alone a masterpiece."
Very Disappointed,bilahn,1 April 2006,5,"Based on the near universal praise from critics and viewers alike and my interest in Brazilian culture, not to mention the buzz about the cinematography, I was eager to see this film, despite my lack of interest in violence as entertainment."
"One of the rawest, most realistic films that I have ever seen",ridgyolive,26 June 2020,10,"I just saw this movie, and it is one of the best foreign language films that I think I have ever seen! I have recently been getting into foreign cinema with a lot of the Korean movies (Parasite, Oldboy), and I know there is no comparing them, since they are completely different, this movie holds up with them! It might even be better! It is fantastic, it utilizes the gritty cinematography and the editing to play to the themes of the story very much. It may be one of the best looking and flowing films that I have ever seen. It is really something unique, and I would recommend anyone to watch this."
Scaring and amazingly good,udeaasykle,7 March 2004,10,"This was a delight to be watching. When i say delight i don't mean i like seeing people get killed over nothing but it was so masterfully done. I have heard only good things about this movie so i was prepared for a excellent movie, and let me tell you i was not disappointed at all. The movie shows how little a human life is worth in some people eyes. The scariest part is to see the young kids, probably not more than 7-10 years old, carrying guns, thinking it is cool to kill others. The thing i remember best is when one of the young kids says: I smoke and snort. I have robbed and killed. I am a man! What kind of life do you live when you can say that sentence and believe it? Anyways, this is a very good movie and i give it the best rating i can. 10"
"a powerhouse crime saga, with a fierce, daunting fusion of style",Quinoa1984,8 August 2003,10,"City of God played for months on end at an the Angelika theater in New York City back in 2003, and I was hesitant whether or not I should go there to spend ten dollars and to sit in a little theater with a packed audience, or to wait in video. I gave in to my temptations to see the film, from what I heard from various reviewers, and by the end, I knew it was truly worth the admission, and then some. Director Fernando Meirelles, along with co-director Katia Lund, crafts a film that steams so much with a passion to tell this story, to reveal all these characters (most of which who wear their flaws right on their sleeves like badges of honor), and to be honest with how their tales unfold, that even the most die-hard of action film or gangster connoisseur will feel the visceral, hardcore nature of the City of God long after the lights come up, subtitles and all."
Best Movie Oscar?,lucas-benvenuti,26 April 2021,10,How can this Movie not even been incated as Best Movie ir at least best foreing Movie?
A must see masterpiece.,colinjbooth,12 May 2020,10,"If Martin Scorcese and Quentin Tarantino had a Brazilian baby, this would be that baby. An incredible, powerful, stylish, authentic tour-de-force or filmmaking made all the more incredible by the budget and the perfect child actors. Of the top IMDb movies, this may be the least we'll known, possibly because it is 'foreign' or just because it doesn't have a name actor or big studio behind it, but make no mistake it earns its place in the upper echelons of all-time classics."
Kids With Guns,flickershows,1 March 2004,8,"'City Of God' is not an easy film to watch, nor is it an easy film to like. Were it not for the stark reality that permeates most of the production, this could have been a modern zombie flick. None of the characters in this movie are really alive anyway. They're the walking dead, living each moment with the threat of death knocking holes in their front door. The actors do the best they can with powerful material that offers them no real hope. As I said, zombie flick."
"A thoroughly absorbing, powerful and unforgettable movie experience",wellthatswhatithinkanyway,8 May 2006,10,STAR RATING: ***** The Works **** Just Misses the Mark *** That Little Bit In Between ** Lagging Behind * The Pits
It leaves the judgments to the viewer,brower8,25 January 2005,10,"With a Dickensian plot (if the content is un-bowdlerized), a child nicknamed ""Rocket"" (as translated in the English subtitles) relates his rise from a ghetto-dweller to a successful photojournalist who exposes the harsh world of his origin to the complacent Brazilians who live in the picture-postcard world of its upper and middle classes, and his entry into their world. ""Rocket"" is effectively the narrator."
